name,type,location,price,grade,note
Coco Mocca,Desayuno/Merienda,,15,,
La Gringa,Desayuno/Merienda,,20,,Brunch
Del Cielo Cookies,Desayuno/Merienda,,10,,
Sufu Cake,Desayuno/Merienda,,15,,
Le Pain Quotidien,Desayuno/Merienda,,20,,
Mistura,Desayuno/Merienda,,15,,
Monkee Koffee,Desayuno/Merienda,,15,,
Salón des Fleurs,Desayuno/Merienda,,20,,
La Florería,Desayuno/Merienda,,20,,Brunch
The Toast Cafe,Desayuno/Merienda,,15,,Brunch
Mimis Creperie,Desayuno/Merienda,,15,,
Dulce Hogar,Desayuno/Merienda,Móstoles,15,,
Delish Vegan Doughnuts,Desayuno/Merienda,,10,2,
Mamma Framboise,Desayuno/Merienda,,15,9,
CookieLab,Desayuno/Merienda,,10,8.5,
Faborit,Para Comer,,20,,
Red Bar,Para Comer,,20,,24h - Todo tipo de comida
Avocado Show,Para Comer,,20,,
La Desayuneria,Para Comer,,15,,
Mooser,Para Comer,,30,,Fondue
El Gordo,Para Comer,,40,,Premium
El Imparcial,Para Comer,,25,,
80º,Para Comer,,30,10,
Crepes & Waffles,Para Comer,,15,10,
La Mucca,Para Comer,,20,8,
Casa a la Malicia,Para Cenar,,25,,
Marieta,Para Cenar,,35,10,De moda
Café de Paris,Para Cenar,,30,,De moda
Mediavuelta,Premium,,40,,Rooftop
Inclan,Premium,,20,,15-20€
ZEST,Healthy,,20,,
Tasty Poke,Healthy,,15,,
Urban Poke Bar,Healthy,,15,,
Aloha Poké,Healthy,,15,,
Honest Greens,Healthy,,20,,
Fismuler,Cheesecake,,30,10,Tarta de queso
Mis Tartas de Queso,Cheesecake,,15,,
Luna & Wanda,Cheesecake,,20,,
Mercado de Ibiza,Cheesecake,,20,,
Alex Cordobés,Cheesecake,,15,,
Cheescake Avenue,Cheesecake,,15,,
Restaurante Gigi,Cheesecake,,25,,
Penthouse Hotel ME Madrid,Mercados/Terrazas,,30,,
Room Mate Don Oscar,Mercados/Terrazas,,25,,
Mercado de San Miguel,Mercados/Terrazas,,25,8,
Mercado de San Antón,Mercados/Terrazas,,20,8,
Mercado de San Ildefonso,Mercados/Terrazas,,20,8,
Public,Barato,,10,,
Bazaar,Barato,,15,,
Panther,Barato,,10,9,
